photonEnergy,coherentScatter,incoherentScatter,photoelectricAbsorbtion,totalWithCoherent,totalNoCoherent
0.011741682974559686,3.78,0.0431,439.0,443.0,439.0
0.015655577299412915,2.96,0.0541,205.0,208.0,206.0
0.018904109589041096,2.48,0.062,124.0,126.0,124.0
0.019569471624266144,2.39,0.0635,156.0,158.0,156.0
0.029354207436399216,1.56,0.0808,52.3,54.0,52.4
0.03913894324853229,1.09,0.0918,23.6,24.8,23.7
0.052250489236790605,0.729,0.102,10.5,11.3,10.6
0.05870841487279843,0.615,0.105,19.0,19.7,19.1
0.06223091976516634,0.564,0.106,16.3,16.9,16.4
0.07827788649706457,0.4,0.111,15.8,16.3,15.9
0.09784735812133072,0.283,0.115,8.61,9.0,8.72
0.11741682974559686,0.21,0.116,5.19,5.52,5.31
0.15655577299412915,0.129,0.116,2.31,2.55,2.42
0.19569471624266144,0.087,0.114,1.22,1.42,1.33
0.29354207436399216,0.0422,0.107,0.379,0.527,0.485
0.3913894324853229,0.0248,0.0997,0.165,0.29,0.265
0.5870841487279843,0.0115,0.0884,0.0525,0.152,0.141
0.7827788649706457,0.00663,0.0799,0.0241,0.111,0.104
0.9784735812133072,0.0043,0.0733,0.0135,0.0911,0.0868
1.1741682974559686,0.00301,0.068,0.00864,0.0797,0.0767
1.5655577299412915,0.00171,0.06,0.00447,0.0661,0.0644
1.9569471624266144,0.0011,0.054,0.00279,0.0579,0.0568
1.9960861056751467,0.00105,0.0534,0.00265,0.0571,0.0561
